Neuron1	Neuron2	Type	Nbr
AVBL	AVG	Rp	1
AVBR	AVG	R	2
AVDR	AVG	R	1
AVEL	AVG	Rp	1
AVER	AVG	Rp	1
AVFL	AVG	R	1
AVFL	AVG	S	1
AVFL	AVG	Sp	1
RIFL	AVG	EJ	1
RIFR	AVG	EJ	1
AVJL	AVG	Rp	1
AVL	AVG	Rp	1
DA08	AVG	Rp	1
PHAL	AVG	Rp	2
PHAL	AVG	S	1
PHAL	AVG	Sp	4
PHAR	AVG	S	1
PHAR	AVG	Sp	2
PQR	AVG	S	1
PVCL	AVG	Rp	1
PVNL	AVG	Sp	1
PVNR	AVG	R	1
PVNR	AVG	Rp	1
PVPR	AVG	Rp	1
PVQR	AVG	Rp	1
PVT	AVG	R	1
VA11	AVG	R	1
ADFR	AVHL	Rp	3
AIML	AVHL	Sp	2
AVAL	AVHL	Sp	1
AVBL	AVHL	R	1
AVBR	AVHL	Rp	1
AVDL	AVHL	Rp	1
AVFL	AVHL	Rp	1
AVFL	AVHL	Sp	2
AVFR	AVHL	Rp	3
AVFR	AVHL	Sp	2
AVFL	AVHL	EJ	2
AVFR	AVHL	EJ	2
AVHR	AVHL	EJ	1
PHBR	AVHL	EJ	1
AVHR	AVHL	Rp	1
AVHR	AVHL	Sp	1
AVJL	AVHL	R	2
AVJL	AVHL	Rp	1
AVJL	AVHL	Sp	2
AWBR	AVHL	Rp	1
BDUL	AVHL	Sp	1
BDUR	AVHL	Sp	1
PHAL	AVHL	Sp	1
PVPR	AVHL	Rp	2
PVPR	AVHL	Sp	3
PVQL	AVHL	R	1
PVQR	AVHL	Rp	2
RIFR	AVHL	Sp	1
RIMR	AVHL	Rp	1
RIR	AVHL	Rp	3
SMBDR	AVHL	Rp	1
SMBVR	AVHL	Rp	2
VD01	AVHL	Rp	1
ADLL	AVHR	Rp	1
ADLR	AVHR	Rp	2
AIML	AVHR	Sp	1
AQR	AVHR	Rp	2
AVBL	AVHR	Rp	2
AVBR	AVHR	Rp	1
AVDR	AVHR	Rp	1
AVFL	AVHR	Rp	2
AVFL	AVHR	S	3
AVFL	AVHR	Sp	1
AVFR	AVHR	Rp	1
AVFR	AVHR	S	1
AVHL	AVHR	Rp	1
AVHL	AVHR	Sp	1
AVFL	AVHR	EJ	3
AVFR	AVHR	EJ	1
AVHL	AVHR	EJ	1
AVJR	AVHR	Rp	4
PHAL	AVHR	Sp	1
PHAR	AVHR	Sp	1
PHCR	AVHR	Sp	1
PVNL	AVHR	Rp	1
PVPL	AVHR	Rp	3
PVPL	AVHR	Sp	1
RIFL	AVHR	Sp	1
RIGL	AVHR	Rp	1
RIR	AVHR	R	1
RIR	AVHR	Rp	3
SMBDL	AVHR	Rp	1
SMBVL	AVHR	Rp	1
VC04	AVHR	S	1
ADAR	AVJL	S	1
ADAR	AVJL	Sp	2
ADLL	AVJL	Sp	1
AIML	AVJL	Sp	1
AQR	AVJL	Sp	1
AVAR	AVJL	Rp	1
AVBL	AVJL	Rp	1
AVBR	AVJL	Rp	4
AVDL	AVJL	Rp	1
AVEL	AVJL	R	1
AVFL	AVJL	Sp	1
AVFR	AVJL	Rp	1
AVFR	AVJL	S	1
AVFR	AVJL	Sp	1
AVG	AVJL	Sp	1
AVHL	AVJL	Rp	2
AVHL	AVJL	S	2
AVHL	AVJL	Sp	1
AVAL	AVJL	EJ	2
AVDR	AVJL	EJ	2
AVJR	AVJL	EJ	4
PVCL	AVJL	EJ	1
PVCR	AVJL	EJ	3
RIS	AVJL	EJ	1
AVJR	AVJL	Sp	1
BDUR	AVJL	Sp	2
HSNL	AVJL	S	1
HSNL	AVJL	Sp	1
HSNR	AVJL	R	1
HSNR	AVJL	Sp	1
LUAL	AVJL	Sp	1
PLMR	AVJL	Rp	2
PVCL	AVJL	Rp	1
PVCL	AVJL	S	1
PVCL	AVJL	Sp	2
PVCR	AVJL	Rp	2
PVNL	AVJL	Sp	5
PVNR	AVJL	Rp	1
PVNR	AVJL	Sp	4
PVR	AVJL	S	1
PVR	AVJL	Sp	2
PVWL	AVJL	Sp	1
RIFR	AVJL	Rp	1
RIFR	AVJL	Sp	1
RIMR	AVJL	Sp	1
RIS	AVJL	Rp	1
RMGR	AVJL	Sp	1
ADAL	AVJR	Sp	5
ADER	AVJR	Sp	1
ADLL	AVJR	Sp	3
ADLR	AVJR	S	1
ADLR	AVJR	Sp	1
AVAL	AVJR	Rp	1
AVAR	AVJR	Rp	1
AVBL	AVJR	R	1
AVBL	AVJR	Rp	2
AVBR	AVJR	Rp	1
AVDL	AVJR	Rp	1
AVDR	AVJR	R	1
AVDR	AVJR	Rp	2
AVER	AVJR	R	1
AVER	AVJR	Rp	2
AVFL	AVJR	S	1
AVFR	AVJR	Sp	1
AVHR	AVJR	Sp	4
AVJL	AVJR	Rp	1
AVJL	AVJR	EJ	4
PVCL	AVJR	EJ	1
AVM	AVJR	Sp	1
BDUL	AVJR	Sp	1
FLPR	AVJR	S	1
LUAR	AVJR	Sp	1
PVCL	AVJR	Rp	2
PVCL	AVJR	S	1
PVCR	AVJR	R	1
PVCR	AVJR	Rp	3
PVNL	AVJR	S	2
PVNL	AVJR	Sp	3
PVNR	AVJR	Sp	1
PVQR	AVJR	R	1
PVR	AVJR	Sp	2
RIFL	AVJR	Sp	2
RIFR	AVJR	Sp	2
SABVL	AVJR	Rp	1
URXL	AVJR	Sp	1
ADER	AVKL	S	1
ADER	AVKL	Sp	1
AVBL	AVKL	Rp	1
AVEL	AVKL	Rp	2
AVER	AVKL	Rp	1
ADER	AVKL	EJ	1
AQR	AVKL	EJ	2
AVKR	AVKL	EJ	2
PVPL	AVKL	EJ	1
PVPR	AVKL	EJ	1
PVT	AVKL	EJ	2
RICL	AVKL	EJ	1
RICR	AVKL	EJ	1
RIGL	AVKL	EJ	1
SMBDL	AVKL	EJ	1
SMBDR	AVKL	EJ	1
SMBVR	AVKL	EJ	1
VB01	AVKL	EJ	4
VB10	AVKL	EJ	1
AVM	AVKL	R	1
DVA	AVKL	R	1
DVC	AVKL	Sp	2
PDEL	AVKL	R	2
PDEL	AVKL	Rp	1
PDEL	AVKL	S	1
PDEL	AVKL	Sp	5
PDER	AVKL	Rp	1
PDER	AVKL	Sp	16
PVM	AVKL	R	1
PVM	AVKL	S	7
PVM	AVKL	Sp	4
PVR	AVKL	S	1
PVT	AVKL	S	2
PVT	AVKL	Sp	5
RIGR	AVKL	Sp	4
RIML	AVKL	Rp	2
RIMR	AVKL	Rp	1
RIMR	AVKL	Sp	1
RIS	AVKL	S	1
RMDR	AVKL	Sp	1
RMFL	AVKL	Sp	4
RMFR	AVKL	Rp	1
RMFR	AVKL	Sp	3
SAADR	AVKL	R	1
SIAVR	AVKL	Rp	1
SMDDR	AVKL	Rp	1
ADER	AVKR	Sp	1
ADEL	AVKR	EJ	1
AQR	AVKR	EJ	1
AVKL	AVKR	EJ	2
PVPL	AVKR	EJ	6
RICL	AVKR	EJ	1
RIGR	AVKR	EJ	1
SMBDL	AVKR	EJ	1
SMBDR	AVKR	EJ	2
SMBVR	AVKR	EJ	1
BDUL	AVKR	R	1
DVC	AVKR	Sp	1
PVQL	AVKR	R	1
PVT	AVKR	Sp	7
RICL	AVKR	Sp	1
RIGL	AVKR	Sp	2
RIGR	AVKR	Sp	1
RIML	AVKR	Rp	2
RIMR	AVKR	Rp	2
RIS	AVKR	Sp	4
RMDR	AVKR	R	1
RMFL	AVKR	Rp	1
RMFL	AVKR	Sp	4
RMFR	AVKR	Sp	3
SAADL	AVKR	Rp	1
SMBDL	AVKR	R	1
SMDDL	AVKR	Rp	1
SMDDR	AVKR	Rp	2
ADEL	AVL	S	1
AVBL	AVL	S	1
AVEL	AVL	Rp	1
AVFL	AVL	Sp	1
AVFR	AVL	Rp	1
AVG	AVL	Sp	1
DVB	AVL	EJ	1
DVC	AVL	EJ	9
PVM	AVL	EJ	1
DA02	AVL	R	1
DD01	AVL	R	1
DD06	AVL	Rp	2
DVB	AVL	S	2
DVB	AVL	Sp	3
HSNR	AVL	R	1
HSNR	AVL	S	1
PVCR	AVL	S	1
PVNL	AVL	Sp	2
PVNR	AVL	Sp	2
PVPR	AVL	R	1
PVPR	AVL	S	1
PVPR	AVL	Sp	3
PVQR	AVL	Sp	1
PVT	AVL	Sp	2
PVWL	AVL	Rp	1
RIS	AVL	Sp	2
SABD	AVL	Rp	5
SABVL	AVL	Rp	4
SABVR	AVL	Rp	3
VC01	AVL	Sp	2
VC03	AVL	Sp	1
VD12	AVL	Rp	4
ADER	AVM	R	1
ADER	AVM	Rp	1
AVBL	AVM	Rp	6
AVBR	AVM	R	2
AVBR	AVM	Rp	4
AVJR	AVM	Rp	1
AVKL	AVM	S	1
ALML	AVM	EJ	1
ALMR	AVM	EJ	1
AVDL	AVM	EJ	2
BDUL	AVM	R	2
BDUL	AVM	Rp	1
BDUR	AVM	R	2
BDUR	AVM	Rp	2
DA01	AVM	Rp	1
PVCL	AVM	Rp	4
PVCR	AVM	R	1
PVCR	AVM	Rp	4
PVM	AVM	Sp	1
PVNL	AVM	Rp	1
PVR	AVM	Rp	3
RID	AVM	Rp	1
SIBVL	AVM	Rp	1
VA01	AVM	Rp	2
ADAL	AWAL	R	1
AFDL	AWAL	R	1
AFDL	AWAL	Rp	4
AIYL	AWAL	Rp	1
AIYL	AWAL	Sp	3
AIZL	AWAL	R	3
AIZL	AWAL	Rp	7
ASEL	AWAL	Rp	4
ASGL	AWAL	Rp	1
AIAL	AWAL	EJ	1
AWAR	AWAL	EJ	1
AWBL	AWAL	Rp	1
ADFR	AWAR	Rp	3
AFDR	AWAR	R	1
AFDR	AWAR	Rp	6
AIAR	AWAR	Sp	1
AIYR	AWAR	Rp	2
AIYR	AWAR	Sp	1
AIZR	AWAR	R	2
AIZR	AWAR	Rp	5
ASEL	AWAR	Rp	1
ASER	AWAR	Rp	2
ASER	AWAR	Sp	1
ASKR	AWAR	Sp	1
AUAR	AWAR	R	1
AIAR	AWAR	EJ	1
AIZR	AWAR	EJ	1
AWAL	AWAR	EJ	1
AWBR	AWAR	Rp	1
PVQR	AWAR	Sp	2
RIFR	AWAR	Rp	2
RIGR	AWAR	R	1
RIR	AWAR	Rp	2
ADFL	AWBL	R	1
ADFL	AWBL	Rp	8
ADLL	AWBL	S	2
AIBR	AWBL	Rp	1
AIZL	AWBL	R	3
AIZL	AWBL	Rp	6
AVBL	AWBL	R	1
AWAL	AWBL	Sp	1
AUAL	AWBL	EJ	1
AWBR	AWBL	EJ	1
RMGL	AWBL	EJ	1
HSNL	AWBL	S	1
HSNL	AWBL	Sp	1
HSNR	AWBL	Sp	1
RIAL	AWBL	R	1
RIAL	AWBL	Rp	2
SMBDL	AWBL	Rp	1
ADFR	AWBR	R	1
ADFR	AWBR	Rp	3
ADFR	AWBR	S	1
AIZR	AWBR	R	1
AIZR	AWBR	Rp	3
ASGR	AWBR	R	1
ASHR	AWBR	Rp	2
AVBR	AWBR	Rp	2
AVHL	AWBR	Sp	1
AWAR	AWBR	Sp	1
AUAR	AWBR	EJ	1
AWBL	AWBR	EJ	1
RICL	AWBR	EJ	1
RMGR	AWBR	EJ	1
HSNL	AWBR	Sp	2
RIAR	AWBR	Rp	1
RIR	AWBR	Rp	2
RIR	AWBR	Sp	1
SMBVR	AWBR	Rp	1
AIAL	AWCL	R	2
AIAR	AWCL	R	3
AIAR	AWCL	Rp	1
AIAR	AWCL	Sp	1
AIBL	AWCL	R	1
AIBL	AWCL	Rp	1
AIBR	AWCL	Rp	1
AIYL	AWCL	R	7
AIYL	AWCL	Rp	3
AIYL	AWCL	Sp	1
ASEL	AWCL	Rp	1
ASEL	AWCL	Sp	4
ASER	AWCL	Sp	1
ASIL	AWCL	S	1
ASIL	AWCL	Sp	1
ASIR	AWCL	Sp	1
AVAL	AWCL	Rp	1
AWCR	AWCL	Rp	1
AWCR	AWCL	S	1
AWCR	AWCL	Sp	4
RIAL	AWCL	R	2
RIAL	AWCL	Rp	1
ADLR	AWCR	Sp	3
AIAL	AWCR	Sp	1
AIAR	AWCR	R	1
AIAR	AWCR	Rp	1
AIAR	AWCR	S	1
AIAR	AWCR	Sp	2
AIBR	AWCR	Rp	4
AIYL	AWCR	R	1
AIYL	AWCR	Rp	3
AIYL	AWCR	Sp	1
AIYR	AWCR	R	3
AIYR	AWCR	Rp	6
ASEL	AWCR	Rp	1
ASEL	AWCR	Sp	1
ASER	AWCR	Sp	1
ASGR	AWCR	Rp	1
ASIL	AWCR	S	1
ASIL	AWCR	Sp	1
ASIR	AWCR	S	1
ASIR	AWCR	Sp	1
AWCL	AWCR	R	1
AWCL	AWCR	Rp	4
AWCL	AWCR	Sp	1
AIBL	BAGL	Rp	1
AINL	BAGL	Sp	3
AQR	BAGL	Sp	2
AVAR	BAGL	R	1
AVAR	BAGL	Rp	1
AVEL	BAGL	Rp	1
AVER	BAGL	R	1
AVER	BAGL	Rp	3
BAGR	BAGL	EJ	1
RIGR	BAGL	EJ	1
RIR	BAGL	EJ	1
BAGR	BAGL	Rp	1
RIAR	BAGL	R	2
RIAR	BAGL	Rp	3
RIBL	BAGL	R	1
RIBR	BAGL	R	1
RIBR	BAGL	Rp	6
RIBR	BAGL	S	1
RIBR	BAGL	Sp	1
RIGL	BAGL	R	1
RIGR	BAGL	R	3
RIGR	BAGL	Rp	1
AINR	BAGR	Sp	3
AIYL	BAGR	Rp	1
AQR	BAGR	Sp	2
AVAL	BAGR	R	1
AVAL	BAGR	Rp	1
AVEL	BAGR	R	2
AVEL	BAGR	Rp	2
BAGL	BAGR	Sp	1
BAGL	BAGR	EJ	1
RIGL	BAGR	EJ	1
RIR	BAGR	EJ	1
IL2VL	BAGR	Sp	1
RIAL	BAGR	R	2
RIAL	BAGR	Rp	3
RIBL	BAGR	R	1
RIBL	BAGR	Rp	3
RIBL	BAGR	Sp	1
RIGL	BAGR	R	2
RIGL	BAGR	Rp	3
RIGL	BAGR	Sp	1
RIH	BAGR	Sp	1
RIR	BAGR	Sp	1
ADEL	BDUL	R	3
ADEL	BDUL	Sp	1
ALML	BDUL	S	5
ALML	BDUL	Sp	1
AVHL	BDUL	Rp	1
AVJR	BDUL	Rp	1
AVKR	BDUL	S	1
AVM	BDUL	S	2
AVM	BDUL	Sp	1
HSNL	BDUL	Rp	1
PVNL	BDUL	R	2
PVNL	BDUL	S	1
PVNL	BDUL	Sp	1
PVNR	BDUL	Rp	2
PVNR	BDUL	Sp	1
SAADL	BDUL	Rp	1
URADL	BDUL	Rp	1
ADER	BDUR	R	1
ALMR	BDUR	Rp	1
ALMR	BDUR	S	5
AVAL	BDUR	Rp	3
AVHL	BDUR	Rp	1
AVJL	BDUR	Rp	2
AVM	BDUR	S	2
AVM	BDUR	Sp	2
CEPDR	BDUR	S	1
HSNR	BDUR	R	1
HSNR	BDUR	Rp	3
HSNR	BDUR	Sp	1
PVCL	BDUR	R	1
PVCL	BDUR	Rp	1
PVNL	BDUR	R	2
PVNL	BDUR	Rp	2
PVNL	BDUR	Sp	2
PVNR	BDUR	Rp	1
PVNR	BDUR	S	2
PVNR	BDUR	Sp	2
SDQL	BDUR	Rp	1
URADR	BDUR	Rp	1
ADEL	CEPDL	S	1
ALML	CEPDL	S	3
AVER	CEPDL	R	1
AVER	CEPDL	Rp	4
OLQDL	CEPDL	EJ	1
RIH	CEPDL	EJ	1
IL1DL	CEPDL	Rp	4
OLLL	CEPDL	Rp	2
OLLL	CEPDL	Sp	3
OLQDL	CEPDL	Rp	6
RIBL	CEPDL	Rp	2
RICL	CEPDL	R	1
RICL	CEPDL	Rp	1
RICR	CEPDL	R	2
RICR	CEPDL	Rp	2
RIH	CEPDL	S	1
RIPL	CEPDL	Rp	2
RIS	CEPDL	Rp	1
RMDVL	CEPDL	R	1
RMDVL	CEPDL	Rp	2
RMGL	CEPDL	R	1
RMGL	CEPDL	Rp	3
RMGL	CEPDL	Sp	1
RMHR	CEPDL	R	1
RMHR	CEPDL	Rp	3
SIADR	CEPDL	R	1
SIADR	CEPDL	Rp	1
SMBDR	CEPDL	Rp	1
URADL	CEPDL	Rp	2
URBL	CEPDL	Rp	4
URBL	CEPDL	S	1
URYDL	CEPDL	Rp	2
ADER	CEPDR	S	1
ALMR	CEPDR	S	1
AVEL	CEPDR	Rp	6
BDUR	CEPDR	R	1
OLQDR	CEPDR	EJ	2
RIH	CEPDR	EJ	1
IL1DR	CEPDR	Rp	5
IL1R	CEPDR	Rp	1
IL2DR	CEPDR	Sp	1
OLLR	CEPDR	R	1
OLLR	CEPDR	Rp	7
OLLR	CEPDR	S	1
OLLR	CEPDR	Sp	1
OLQDR	CEPDR	Rp	5
RIBR	CEPDR	Rp	1
RICL	CEPDR	Rp	4
RICR	CEPDR	Rp	3
RIH	CEPDR	S	1
RIS	CEPDR	Rp	1
RIS	CEPDR	Sp	1
RMDDL	CEPDR	Rp	1
RMDVR	CEPDR	Rp	2
RMGR	CEPDR	R	1
RMHL	CEPDR	Rp	4
RMHR	CEPDR	Rp	1
SIADL	CEPDR	R	1
SMBDR	CEPDR	Rp	1
URADR	CEPDR	Rp	1
URBR	CEPDR	Rp	2
URBR	CEPDR	S	1
URYDR	CEPDR	Rp	1
ADLL	CEPVL	Rp	1
ALML	CEPVL	Sp	2
AVER	CEPVL	R	1
AVER	CEPVL	Rp	2
OLQVL	CEPVL	EJ	1
RIH	CEPVL	EJ	1
IL1VL	CEPVL	Rp	2
OLLL	CEPVL	Rp	4
OLLL	CEPVL	Sp	4
OLQVL	CEPVL	Rp	6
RIAL	CEPVL	Sp	1
RICL	CEPVL	R	1
RICL	CEPVL	Rp	6
RICR	CEPVL	Rp	4
RIH	CEPVL	S	1
RIPL	CEPVL	Rp	1
RIS	CEPVL	Sp	2
RMDDL	CEPVL	Rp	4
RMHL	CEPVL	Rp	1
SIAVL	CEPVL	R	1
SIAVL	CEPVL	Rp	1
URAVL	CEPVL	Rp	2
ALMR	CEPVR	S	1
ASGR	CEPVR	Rp	1
ASKR	CEPVR	Sp	1
AVEL	CEPVR	R	1
AVEL	CEPVR	Rp	4
OLQVR	CEPVR	EJ	1
RIH	CEPVR	EJ	1
IL1VR	CEPVR	R	1
IL1VR	CEPVR	Rp	1
IL2VR	CEPVR	Rp	2
OLLR	CEPVR	R	1
OLLR	CEPVR	Rp	6
OLLR	CEPVR	Sp	6
OLQVR	CEPVR	Rp	3
RIAR	CEPVR	Sp	1
RICL	CEPVR	Rp	2
RICR	CEPVR	R	2
RICR	CEPVR	Rp	2
RIH	CEPVR	S	1
RIH	CEPVR	Sp	1
RIPR	CEPVR	Rp	1
RIS	CEPVR	Sp	1
RIVL	CEPVR	Rp	1
RMDDR	CEPVR	Rp	2
RMHR	CEPVR	Rp	2
SIAVR	CEPVR	Rp	2
URAVR	CEPVR	Rp	1
AS01	DA01	S	2
AVAL	DA01	S	2
AVAR	DA01	S	2
AVDL	DA01	Sp	1
AVDR	DA01	Sp	2
AVEL	DA01	Sp	5
AVER	DA01	Sp	5
AVM	DA01	Sp	1
AVAL	DA01	EJ	2
AVAR	DA01	EJ	6
DA04	DA01	EJ	1
SABVL	DA01	EJ	2
SABVR	DA01	EJ	3
DD01	DA01	R	2
DD01	DA01	Rp	2
VD01	DA01	R	3
VD01	DA01	Rp	14
VD02	DA01	Rp	1
AVAL	DA02	S	2
AVAR	DA02	S	2
AVDL	DA02	S	1
AVDR	DA02	S	1
AVEL	DA02	Sp	1
AVER	DA02	S	1
AVER	DA02	Sp	2
AVL	DA02	S	1
AS02	DA02	EJ	1
AS03	DA02	EJ	1
AVAL	DA02	EJ	2
AVAR	DA02	EJ	2
SABVL	DA02	EJ	1
VA01	DA02	EJ	2
DD01	DA02	Rp	1
DD01	DA02	S	2
PVCL	DA02	S	1
VD01	DA02	R	2
VD02	DA02	R	2
VD02	DA02	Rp	9
VD03	DA02	R	3
VD03	DA02	Rp	2
AS03	DA03	S	1
AS04	DA03	R	1
AVAL	DA03	S	6
AVAR	DA03	S	3
AVDL	DA03	S	4
AVDR	DA03	S	1
AVDR	DA03	Sp	1
AVEL	DA03	S	1
AVEL	DA03	Sp	2
AVER	DA03	S	1
AS04	DA03	EJ	1
AVAR	DA03	EJ	2
DA04	DA03	R	1
DA04	DA03	Rp	1
DA04	DA03	S	1
DB02	DA03	S	5
DB03	DA03	Rp	1
DD02	DA03	Rp	1
DD02	DA03	S	1
VD03	DA03	R	1
VD03	DA03	Rp	24
VD04	DA03	Rp	6
AVAL	DA04	S	7
AVAR	DA04	S	6
AVDL	DA04	S	1
AVDL	DA04	Sp	1
AVDR	DA04	S	1
AVDR	DA04	Sp	1
AVEL	DA04	Sp	1
DA03	DA04	Rp	1
DA03	DA04	S	2
AVAL	DA04	EJ	3
AVAR	DA04	EJ	2
DA01	DA04	EJ	1
DB03	DA04	EJ	1
VB06	DA04	EJ	1
DB03	DA04	Rp	1
DD02	DA04	Rp	1
VD04	DA04	Rp	12
VD05	DA04	R	2
VD05	DA04	Rp	13
AVAL	DA05	S	7
AVAR	DA05	S	2
AVBR	DA05	S	1
AVDL	DA05	Sp	1
AVDR	DA05	S	2
AS06	DA05	EJ	2
AVAL	DA05	EJ	1
AVAR	DA05	EJ	5
VA04	DA05	EJ	1
VA05	DA05	EJ	2
DB04	DA05	Rp	1
HSNR	DA05	Sp	1
PVCL	DA05	S	1
VD05	DA05	Rp	1
VD06	DA05	R	4
VD06	DA05	Rp	12
AVAL	DA06	S	11
AVAR	DA06	S	11
AVAL	DA06	EJ	10
AVAR	DA06	EJ	2
HSNR	DA06	Sp	1
PVCL	DA06	Sp	1
RID	DA06	S	1
RID	DA06	Sp	2
VD04	DA06	R	2
VD04	DA06	Rp	2
VD05	DA06	R	2
VD05	DA06	Rp	1
VD06	DA06	Rp	3
AVAL	DA07	Sp	2
AVAR	DA07	Sp	3
AVAL	DA07	EJ	2
AVAL	DA08	Sp	4
AVAR	DA08	S	1
AVAR	DA08	Sp	7
AVDL	DA08	S	1
AVDR	DA08	Sp	1
AVG	DA08	Sp	1
AVAR	DA08	EJ	1
DA09	DA08	EJ	1
DVB	DA08	S	2
DVB	DA08	Sp	2
PHAR	DA08	Sp	1
PHBR	DA08	Sp	1
VA12	DA08	S	3
AVAL	DA09	S	2
AVAL	DA09	Sp	1
AVAR	DA09	Sp	2
AVDR	DA09	S	1
DA08	DA09	EJ	1
PDA	DA09	EJ	1
PHCL	DA09	EJ	1
RID	DA09	EJ	1
DD06	DA09	Rp	1
PDA	DA09	Sp	1
PHCL	DA09	Sp	7
PHCR	DA09	Sp	2
PVCR	DA09	Sp	1
PVR	DA09	S	1
VA12	DA09	S	5
VD13	DA09	R	1
AS01	DB01	Rp	1
AS02	DB01	Rp	1
AS02	DB01	S	1
AS03	DB01	Rp	1
AIBR	DB01	EJ	1
AVBR	DB01	EJ	3
DB02	DB01	EJ	1
DB04	DB01	EJ	1
DVA	DB01	EJ	1
RID	DB01	EJ	1
RIS	DB01	EJ	1
VB03	DB01	EJ	1
VB04	DB01	EJ	1
DD01	DB01	R	4
DD01	DB01	Rp	6
VD01	DB01	R	11
VD01	DB01	Rp	10
VD02	DB01	R	7
VD02	DB01	Rp	8
VD03	DB01	Rp	1
DA03	DB02	Rp	5
AVBR	DB02	EJ	1
DB01	DB02	EJ	1
DB03	DB02	EJ	6
VB01	DB02	EJ	2
DD02	DB02	R	1
DD02	DB02	Rp	1
DVA	DB02	Sp	1
PVCL	DB02	S	3
PVCR	DB02	S	1
PVR	DB02	S	1
VD03	DB02	R	7
VD03	DB02	Rp	16
VD04	DB02	R	6
VD04	DB02	Rp	8
VD05	DB02	Rp	1
AS04	DB03	Rp	1
AS05	DB03	Rp	1
AVAR	DB03	S	1
AVER	DB03	Sp	1
DA03	DB03	S	1
DA04	DB03	S	1
AVBL	DB03	EJ	1
AVBR	DB03	EJ	1
DA04	DB03	EJ	1
DB02	DB03	EJ	6
DB04	DB03	EJ	1
DD02	DB03	Rp	4
DD03	DB03	Rp	10
DVA	DB03	S	2
PVCL	DB03	S	4
PVCR	DB03	S	3
PVR	DB03	S	1
VD04	DB03	Rp	9
VD05	DB03	R	3
VD05	DB03	Rp	23
VD06	DB03	R	1
VD06	DB03	Rp	6
AVDR	DB04	S	1
DA05	DB04	S	1
AVBL	DB04	EJ	1
AVBR	DB04	EJ	1
DB01	DB04	EJ	1
DB03	DB04	EJ	1
VB02	DB04	EJ	1
VB04	DB04	EJ	1
DD03	DB04	Rp	3
DVA	DB04	S	1
PVCL	DB04	S	3
PVCR	DB04	S	4
VC02	DB04	S	1
VD06	DB04	R	7
VD06	DB04	Rp	6
AVAL	DB05	S	2
AVAR	DB05	S	1
AVAR	DB05	EJ	2
AVBL	DB05	EJ	1
AVBR	DB05	EJ	1
DVA	DB05	Sp	1
PVCL	DB05	S	2
PVCR	DB05	S	1
AVAL	DB06	Sp	1
AVAR	DB06	S	5
AVAL	DB06	EJ	3
AVBL	DB06	EJ	2
AVBR	DB06	EJ	1
DVA	DB06	S	2
PVCL	DB06	S	2
PVCR	DB06	S	2
AVBL	DB07	EJ	2
AVBR	DB07	EJ	1
DVA	DB07	S	1
DVA	DB07	Sp	1
PVCL	DB07	S	1
PVCL	DB07	Sp	2
PVCR	DB07	Sp	1
VA12	DB07	S	4
VD13	DB07	R	2
AS02	DD01	S	1
AS03	DD01	S	1
AVL	DD01	S	1
DA01	DD01	S	4
DA02	DD01	Rp	2
DA02	DD01	S	1
DB01	DD01	S	10
AVBR	DD01	EJ	1
DD02	DD01	EJ	1
VD01	DD01	EJ	4
VD02	DD01	EJ	2
PVNL	DD01	Sp	2
PVQR	DD01	Sp	1
RID	DD01	S	3
RID	DD01	Sp	1
VA01	DD01	S	9
VA02	DD01	S	13
VA03	DD01	S	18
VB01	DD01	Sp	1
VB02	DD01	S	20
VC01	DD01	S	7
VC02	DD01	S	6
VC03	DD01	S	2
VD01	DD01	S	1
VD02	DD01	Rp	1
VD02	DD01	S	1
AS05	DD02	S	1
DA03	DD02	Rp	1
DA03	DD02	S	1
DA04	DD02	S	1
DB02	DD02	S	2
DB03	DD02	S	4
DD01	DD02	EJ	1
DD03	DD02	EJ	2
VD04	DD02	EJ	2
PVPR	DD02	Sp	1
RID	DD02	S	3
RID	DD02	Sp	1
VA03	DD02	S	11
VA04	DD02	S	21
VA05	DD02	S	5
VB02	DD02	S	1
VB03	DD02	S	37
VB04	DD02	S	6
VC01	DD02	S	6
VC02	DD02	S	4
VC03	DD02	S	4
VD03	DD02	Rp	1
VD04	DD02	R	1
DB03	DD03	S	10
DB04	DD03	S	3
DD02	DD03	EJ	2
DD04	DD03	EJ	1
PVNR	DD03	S	1
RID	DD03	S	1
RID	DD03	Sp	2
VA05	DD03	S	13
VA06	DD03	S	24
VA07	DD03	S	3
VB04	DD03	S	16
VB05	DD03	S	27
VC01	DD03	S	6
VC02	DD03	S	9
VC03	DD03	S	5
DD03	DD04	EJ	1
VC03	DD04	EJ	1
VD08	DD04	EJ	1
VA07	DD04	S	12
VA08	DD04	S	21
VA09	DD04	S	3
VB06	DD04	S	30
VB07	DD04	S	2
VC03	DD04	S	12
VD08	DD04	S	1
VD10	DD05	EJ	1
PVDL	DD05	S	1
VA09	DD05	S	15
VB08	DD05	R	1
VB08	DD05	S	30
VB09	DD05	S	8
VD09	DD05	R	1
VD10	DD05	S	1
AVL	DD06	Sp	2
DA09	DD06	S	1
DVB	DD06	Sp	3
PDA	DD06	Sp	1
VA11	DD06	S	10
VA12	DD06	S	2
VB10	DD06	S	9
VB11	DD06	S	7
AIZL	DVA	Rp	3
AIZL	DVA	S	1
AIZR	DVA	S	1
AIZR	DVA	Sp	1
AQR	DVA	R	1
AQR	DVA	Rp	3
AUAL	DVA	Rp	1
AUAR	DVA	Rp	1
