ADAL	0.16054	0.56	-0.14616	0
ADAR	0.15429	-0.56	-0.03712	0
ADEL	0.15558	0.56	-0.15112	0
ADER	0.15334	-0.56	-0.21056	0
ADFL	0.09269	0.49	0.01085	0
ADFR	0.08762	-0.49	0.10836	0
ADLL	0.09234	0.49	0.28175	0
ADLR	0.08797	-0.49	0.2926	0
AFDL	0.08903	0.49	0.04116	0
AFDR	0.08478	-0.49	0.06286	0
AIAL	0.10956	0.56	-0.24024	0
AIAR	0.11086	-0.56	-0.24768	0
AIBL	0.10071	0.56	-0.15848	0
AIBR	0.09505	-0.49	-0.08232	0
AIML	0.13977	0.56	-0.44832	0
AIMR	0.13163	-0.56	-0.34424	0
AINL	0.11251	0.56	0.14368	0
AINR	0.10838	-0.56	0.12136	0
AIYL	0.14072	0.56	-0.41856	0
AIYR	0.12939	-0.56	-0.35168	0
AIZL	0.1249	0.56	-0.08176	0
AIZR	0.11216	-0.56	-0.05448	0
ALA	0.08006	0	0.33376	0
ALML	0.37471	0.7	-0.3276	0
ALMR	0.37471	-0.7	-0.3276	0
ALNL	0.93652	0.49	0.15687	0
ALNR	0.93652	-0.49	0.15687	0
AQR	0.14886	-0.56	-0.07928	0
AS01	0.18662	0	-0.59936	0
AS02	0.24125	0	-0.72	0
AS03	0.2671	0	-0.74484	0
AS04	0.33896	0	-0.8793	0
AS05	0.4218	0	-0.9138	0
AS06	0.45024	0	-0.9483	0
AS07	0.55656	0	-0.931	0
AS08	0.62181	0	-0.9655	0
AS09	0.68766	0	-0.9655	0
AS10	0.74689	0	-0.85347	0
AS11	0.83693	0	-0.60688	0
ASEL	0.10614	0.56	-0.0248	0
ASER	0.09883	-0.49	0.05852	0
ASGL	0.09729	0.49	0.14952	0
ASGR	0.09116	-0.49	0.27741	0
ASHL	0.09906	0.49	-0.01519	0
ASHR	0.09281	-0.49	0.05852	0
ASIL	0.09788	0.49	0.26005	0
ASIR	0.09505	-0.49	0.30121	0
ASJL	0.11086	0.56	-0.18328	0
ASJR	0.10791	-0.56	-0.18824	0
ASKL	0.08667	0.49	0.20804	0
ASKR	0.08242	-0.49	0.03465	0
AUAL	0.10673	0.56	-0.16096	0
AUAR	0.10355	-0.56	-0.09168	0
AVAL	0.0862	0.49	-0.04984	0
AVAR	0.08054	-0.49	0.05201	0
AVBL	0.10602	0.56	0.0892	3
AVBR	0.0993	-0.49	0.1582	3
AVDL	0.11251	0.56	0.02728	0
AVDR	0.10378	-0.56	0.0768	0
AVEL	0.09222	0.49	-0.06503	0
AVER	0.08691	-0.49	-0.03248	0
AVFL	0.15252	0.56	-0.54984	0
AVFR	0.14685	-0.56	-0.53008	0
AVG	0.16845	0	-0.58704	0
